,Subject,Start Date,End Date,Start Time,End Time,All Day Event,Location
0,Angola vs. Italy,08/25/2023,08/25/2023,10:00,12:00,False,"Manila (PHI), Philippine Arena"
1,Finland vs. Australia,08/25/2023,08/25/2023,10:00,12:00,False,"Okinawa (JPN), Okinawa Arena"
2,Mexico vs. Montenegro,08/25/2023,08/25/2023,10:45,12:45,False,"Manila (PHI), Mall of Asia Arena"
3,Latvia vs. Lebanon,08/25/2023,08/25/2023,11:15,13:15,False,"Jakarta (INA), Indonesia Arena"
4,Dominican Republic vs. Philippines,08/25/2023,08/25/2023,14:00,16:00,False,"Manila (PHI), Philippine Arena"
5,Germany vs. Japan,08/25/2023,08/25/2023,14:10,16:10,False,"Okinawa (JPN), Okinawa Arena"
6,Egypt vs. Lithuania,08/25/2023,08/25/2023,14:30,16:30,False,"Manila (PHI), Mall of Asia Arena"
7,Canada vs. France,08/25/2023,08/25/2023,15:30,17:30,False,"Jakarta (INA), Indonesia Arena"
8,South Sudan vs. Puerto Rico,08/26/2023,08/26/2023,10:00,12:00,False,"Manila (PHI), Araneta Coliseum"
9,Cape Verde vs. Georgia,08/26/2023,08/26/2023,10:00,12:00,False,"Okinawa (JPN), Okinawa Arena"
10,Jordan vs. Greece,08/26/2023,08/26/2023,10:45,12:45,False,"Manila (PHI), Mall of Asia Arena"
11,Iran vs. Brazil,08/26/2023,08/26/2023,11:45,13:45,False,"Jakarta (INA), Indonesia Arena"
12,Slovenia vs. Venezuela,08/26/2023,08/26/2023,13:30,15:30,False,"Okinawa (JPN), Okinawa Arena"
13,Serbia vs. China,08/26/2023,08/26/2023,14:00,16:00,False,"Manila (PHI), Araneta Coliseum"
14,USA vs. New Zealand,08/26/2023,08/26/2023,14:40,16:40,False,"Manila (PHI), Mall of Asia Arena"
15,Spain vs. Cote d'Ivoire,08/26/2023,08/26/2023,15:30,17:30,False,"Jakarta (INA), Indonesia Arena"
16,Italy vs. Dominican Republic,08/27/2023,08/27/2023,10:00,12:00,False,"Manila (PHI), Araneta Coliseum"
17,Australia vs. Germany,08/27/2023,08/27/2023,10:30,12:30,False,"Okinawa (JPN), Okinawa Arena"
18,Montenegro vs. Egypt,08/27/2023,08/27/2023,10:45,12:45,False,"Manila (PHI), Mall of Asia Arena"
